day,run_id,n_students,n_teachers,class_size_cap,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
76,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9468966511382781,0.9369763729410102,0.9482755829779852,0.9562018828962238,0.9857902434775296,0.9424812488250867,1.0,1.0,50,0.2793333333333334
77,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9477789359949962,0.9380355223046755,0.9490926666068622,0.9566057563154046,0.9875735819663042,0.9524812488250867,1.0,1.0,46,0.263
78,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9484414787953585,0.9390536569680423,0.9497277189566165,0.9568313178546729,0.9887235819663043,0.9624812488250867,1.0,1.0,54,0.3083333333333334
79,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9491605024524407,0.9400786870607436,0.9503750563735144,0.9571428532742137,0.989873581966304,0.9724812488250867,1.0,1.0,50,0.2856666666666667
80,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9499406409546586,0.9414701215273378,0.9511881149876009,0.9575287267289223,0.9911580480230899,0.9824812488250867,1.0,1.0,46,0.2566666666666667
81,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9507747392517468,0.9424748318812353,0.9520809009299105,0.9580107901940729,0.9920080480230898,0.9854979319516743,1.0,1.0,42,0.23366666666666666
82,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9514371828342562,0.9434369481557996,0.9527768075354519,0.9584152934882412,0.9931643500702265,0.9943699243825053,1.0,1.0,47,0.269
83,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9521669321660382,0.9445072817277671,0.9530505656951138,0.9587146100051337,0.994005794404806,0.994,1.0,1.0,42,0.24033333333333337
84,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9528502294964594,0.9457863613310351,0.9537742293089937,0.9590539427114328,0.9949485141582891,1.0,1.0,1.0,42,0.24000000000000002
85,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9533453405009187,0.9463650584389071,0.9543121513027653,0.9593202979879553,0.9954829037925662,1.0,1.0,1.0,50,0.286
86,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9537016621205374,0.9472530296266423,0.9546579746790536,0.9593745239072676,0.9953162371258996,0.994,1.0,1.0,56,0.3206666666666667
87,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9543114268481283,0.9480342777775237,0.9552831081042187,0.9597148481190091,0.9964495704592328,0.994,1.0,1.0,42,0.23966666666666672
88,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9547164247468877,0.9486018572843437,0.9556014555697289,0.9598857643399678,0.9965162371258995,0.994,1.0,1.0,51,0.292
89,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9551286150581938,0.9492001062571681,0.9558975938157594,0.9598429461287551,0.9973244513965697,0.994,1.0,1.0,51,0.28
